Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
pvez_aui_desc_custommsgcntdwn,"Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer.","Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer.","Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer.","Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer.","Ваш кастомный текст для обратного отсчета при выходе из зоны.
По умолчанию используется локализоанный текст, зависящий от режима работы зон (Mode).
В режимах 'PvP zones' и 'PvP' это локализованные варианты 'Вы покинете зону открытых боевых действий через' плюс таймер обратного отсчета.
В режиме 'PvE zones' - 'Вы покинете зону перемирия через' плюс таймер.","Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer.","Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer.","Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer.","Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer.","Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer.","Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer.","Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer.","Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer.","Your own text instead of the localized text.
By default it's the localized text that is determined by the selected Mode.
If the mode is 'PvP zones' or 'PvP', then it's the localized variations of 'You will leave the open fire zone in' followed by the countdown timer.
If the Mode is 'PvE zones', the message is 'You will leave the armistice zone in' followed by the countdown timer."
pvez_aui_desc_healtarget,"Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Восстановление здоровья цели.
Восстанавливать здоровье, потерянное в результате атаки другим игроком на территории PvE.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades.","Heal target.
Restore the health of the player that has been hit by another player in PvE area.
NOTE: as mentioned in the mod description, we can't disable damage to players completely, the mod just restores the health that is lost after the hit. So, it still won't protect from headshots and grenades."
pvez_aui_desc_healcargo,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.,Восстанавливать 'здоровье' одежды и прочих вещей игрока при получении ими урона от других игроков на территории PvE.,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.,Restore the 'health' of the players clothing and inventory when they get hit by another player in PvE area.
pvez_aui_desc_allowdmgbeyond,"Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside.","Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside.","Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside.","Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside.","Разрешить урон между PvP и PvE.
Когда ВКЛ, игрок, находящийся на PvP территории сможет убивать игроков, которые находятся в PvE, и наоборот.
Когда ВЫКЛ, оба игрока должны находиться на PvP территории, иначе убийа будет признан нарушителем.","Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside.","Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside.","Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside.","Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside.","Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside.","Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside.","Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside.","Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside.","Allow damage between PvP & PvE.
When this is ON, a player inside a PvP zone will be able and allowed to kill a player outside the zone and vice versa.
When OFF, both players have to be within the zone, otherwise the killer will be considered a lawbreaker if they kill the player that is outside."
pvez_aui_desc_reflecttypes,Damage types which will be sent back to the attcker if they attack another player in PvE area.,Damage types which will be sent back to the attcker if they attack another player in PvE area.,Damage types which will be sent back to the attcker if they attack another player in PvE area.,Damage types which will be sent back to the attcker if they attack another player in PvE area.,"Типы урона, которые будут отражены обратно атакующему, если он атакует другого игрока на PvE территории.
Weapon damage - урон от оружия. ВНИМАНИЕ: любой предмет в руке расценивается как оружие, даже тряпка.
Explosive damage - урон от гранат.
Vehicle damage - урон от машин.
Fist fight damage - урон от кулаков без оружия.",Damage types which will be sent back to the attcker if they attack another player in PvE area.,Damage types which will be sent back to the attcker if they attack another player in PvE area.,Damage types which will be sent back to the attcker if they attack another player in PvE area.,Damage types which will be sent back to the attcker if they attack another player in PvE area.,Damage types which will be sent back to the attcker if they attack another player in PvE area.,Damage types which will be sent back to the attcker if they attack another player in PvE area.,Damage types which will be sent back to the attcker if they attack another player in PvE area.,Damage types which will be sent back to the attcker if they attack another player in PvE area.,Damage types which will be sent back to the attcker if they attack another player in PvE area.
pvez_aui_desc_lbcases,"Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category.","Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category.","Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category.","Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category.","Случаи, когда игрок, убивший другого на PvE территории, объявляется нарушителем.
Weaponary kill - убийсто оружием. ВНИМАНИЕ: любой предмет в руке расенивается как оружие (даже тряпка), следовательно попадает в 1-ую категорию.
Explosive kill - убийство гранатой.
Vehicle kill - машиной.
Fist fight kill - голыми руками без оружия.","Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category.","Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category.","Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category.","Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category.","Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category.","Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category.","Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category.","Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category.","Determines the cases when the player that has killed another one in PvE area should be treated as a lawbreaker.\nNOTE: any item in hands is treated as weapon (even a bandage), therefore it falls into the 1st category."
pvez_aui_desc_lbserverwide,Inform all the players on the server about a lawful kill.,Inform all the players on the server about a lawful kill.,Inform all the players on the server about a lawful kill.,Inform all the players on the server about a lawful kill.,Уведомлять всех игроков на сервере о незаконном убийстве.,Inform all the players on the server about a lawful kill.,Inform all the players on the server about a lawful kill.,Inform all the players on the server about a lawful kill.,Inform all the players on the server about a lawful kill.,Inform all the players on the server about a lawful kill.,Inform all the players on the server about a lawful kill.,Inform all the players on the server about a lawful kill.,Inform all the players on the server about a lawful kill.,Inform all the players on the server about a lawful kill.
pvez_aui_desc_lbautoclear,Clear the lawbreaker data automatically after a certain amount of time from their last murder.,Clear the lawbreaker data automatically after a certain amount of time from their last murder.,Clear the lawbreaker data automatically after a certain amount of time from their last murder.,Clear the lawbreaker data automatically after a certain amount of time from their last murder.,Автоматически удалять данные о нарушителе через определенное время.,Clear the lawbreaker data automatically after a certain amount of time from their last murder.,Clear the lawbreaker data automatically after a certain amount of time from their last murder.,Clear the lawbreaker data automatically after a certain amount of time from their last murder.,Clear the lawbreaker data automatically after a certain amount of time from their last murder.,Clear the lawbreaker data automatically after a certain amount of time from their last murder.,Clear the lawbreaker data automatically after a certain amount of time from their last murder.,Clear the lawbreaker data automatically after a certain amount of time from their last murder.,Clear the lawbreaker data automatically after a certain amount of time from their last murder.,Clear the lawbreaker data automatically after a certain amount of time from their last murder.
pvez_aui_desc_lbautoclearperiod,How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.,How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.,How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.,How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.,"Сколько времени хранить данные о нарушителе. Ничего не делает, если предыдущая опция (Autoclear) ВЫКЛ.",How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.,How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.,How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.,How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.,How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.,How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.,How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.,How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.,How long a lawbreaker data should be stored. Does nothing if the Autoclear is OFF.
pvez_aui_desc_lbattackanywhere,"When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters.","When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters.","When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters.","When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters.","Когда игрок становится нарушителем, другие игроки могут убить его без всяких для них последствий. И им позволено атаковать нарушителя даже на территории PvE. Так что вы можете разрешить нарушителю также атаковать даже в PvE. Иначе, если восстановление здоровья ВКЛ и/или отражение урона ВКЛ, нарушитель не сможет сопротивляться тем, кто на него охотится.","When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters.","When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters.","When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters.","When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters.","When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters.","When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters.","When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters.","When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters.","When someone becomes a lawbreaker, other players will be able to kill the lawbreaker without any consiquences. And they are allowed to attack him even in a PvE zone. So, you might want to allow the lawbreaker to be able to fight back. Otherwise, if you have target healing ON or damage reflection ON, the lawbreaker won't be able to fight against the headhunters."
pvez_aui_desc_lbpardonanydeath,"By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.","By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.","By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.","By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.","По умолчанию нарушитель может быть помилован только если он был убит законопослушным игроком, зараженным или животным.
Включите эту опцию, и нарушитель будет избавлен от статуса нарушителя при смерти, независимо от того, что стало причиной смерти.
Имейте ввиду, что в этом случае нарушитель может совершить суицид у себя в лагере или попросить своего друга убить его, и в итоге останется безнаказанным.","By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.","By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.","By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.","By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.","By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.","By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.","By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.","By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.","By default the lawbreaker can be pardoned only when they've been killed by a non-lawbreaker player, an infected or an animal.
Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.
Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished."
pvez_aui_desc_lbswcustom,"By default the format of the message that is shown to all players on the server looks like this:
1 killed 2. Weapon: 3.
1 will be automatically replaced with the killer name, 2 - victim name, 3 - weapon.","By default the format of the message that is shown to all players on the server looks like this:
1 killed 2. Weapon: 3.
1 will be automatically replaced with the killer name, 2 - victim name, 3 - weapon.","Check thiss ON and the lawbreaker will be free off their lawbreaker status whenever they die, no matter what caused their death.","By default the format of the message that is shown to all players on the server looks like this:
1 killed 2. Weapon: 3.
1 will be automatically replaced with the killer name, 2 - victim name, 3 - weapon.","Формат сообщения всем на сервере о незаконном убийстве. По умолчанию формат следующий:
1 убил 2. Оружие: 3.
1 автоматичеки заменяется на имя убийцы, 2 - имя жертвы, 3 - оружие.","By default the format of the message that is shown to all players on the server looks like this:
1 killed 2. Weapon: 3.
1 will be automatically replaced with the killer name, 2 - victim name, 3 - weapon.","By default the format of the message that is shown to all players on the server looks like this:
1 killed 2. Weapon: 3.
1 will be automatically replaced with the killer name, 2 - victim name, 3 - weapon.","By default the format of the message that is shown to all players on the server looks like this:
1 killed 2. Weapon: 3.
1 will be automatically replaced with the killer name, 2 - victim name, 3 - weapon.","By default the format of the message that is shown to all players on the server looks like this:
1 killed 2. Weapon: 3.
1 will be automatically replaced with the killer name, 2 - victim name, 3 - weapon.","By default the format of the message that is shown to all players on the server looks like this:
1 killed 2. Weapon: 3.
1 will be automatically replaced with the killer name, 2 - victim name, 3 - weapon.","By default the format of the message that is shown to all players on the server looks like this:
1 killed 2. Weapon: 3.
1 will be automatically replaced with the killer name, 2 - victim name, 3 - weapon.","By default the format of the message that is shown to all players on the server looks like this:
1 killed 2. Weapon: 3.
1 will be automatically replaced with the killer name, 2 - victim name, 3 - weapon.","By default the format of the message that is shown to all players on the server looks like this:
1 killed 2. Weapon: 3.
1 will be automatically replaced with the killer name, 2 - victim name, 3 - weapon.","By default the format of the message that is shown to all players on the server looks like this:
1 killed 2. Weapon: 3.
1 will be automatically replaced with the killer name, 2 - victim name, 3 - weapon."
pvez_aui_desc_lbpersonalmsg,"Your custom message for the player who kills someone, this will replace the localized text.","Your custom message for the player who kills someone, this will replace the localized text.",Note that in this case they could commit a suicide in their camp or ask their friend to kill them or just let themeselves bleed out to death and remain unpunished.,"Your custom message for the player who kills someone, this will replace the localized text.","Ваш кастомный текст сообщения, которое показывается убийце. Заменяет локализованный текст.","Your custom message for the player who kills someone, this will replace the localized text.","Your custom message for the player who kills someone, this will replace the localized text.","Your custom message for the player who kills someone, this will replace the localized text.","Your custom message for the player who kills someone, this will replace the localized text.","Your custom message for the player who kills someone, this will replace the localized text.","Your custom message for the player who kills someone, this will replace the localized text.","Your custom message for the player who kills someone, this will replace the localized text.","Your custom message for the player who kills someone, this will replace the localized text.","Your custom message for the player who kills someone, this will replace the localized text."
pvez_aui_desc_lbshowmarkers,Show lawbreaker's position marker on the map that is visible for all players on the server,Show lawbreaker's position marker on the map that is visible for all players on the server,Show lawbreaker's position marker on the map that is visible for all players on the server,Show lawbreaker's position marker on the map that is visible for all players on the server,"Показывать маркер метоположения нарушителя на карте, который будут видеть все игроки.",Show lawbreaker's position marker on the map that is visible for all players on the server,Show lawbreaker's position marker on the map that is visible for all players on the server,Show lawbreaker's position marker on the map that is visible for all players on the server,Show lawbreaker's position marker on the map that is visible for all players on the server,Show lawbreaker's position marker on the map that is visible for all players on the server,Show lawbreaker's position marker on the map that is visible for all players on the server,Show lawbreaker's position marker on the map that is visible for all players on the server,Show lawbreaker's position marker on the map that is visible for all players on the server,Show lawbreaker's position marker on the map that is visible for all players on the server
pvez_aui_desc_lbmarkerupdatefreq,How often lawbreakers markers will be updated on the map. In seconds.,How often lawbreakers markers will be updated on the map. In seconds.,How often lawbreakers markers will be updated on the map. In seconds.,How often lawbreakers markers will be updated on the map. In seconds.,Как часто маркеры нарушителей на карте будут обновляться. В секундах.,How often lawbreakers markers will be updated on the map. In seconds.,How often lawbreakers markers will be updated on the map. In seconds.,How often lawbreakers markers will be updated on the map. In seconds.,How often lawbreakers markers will be updated on the map. In seconds.,How often lawbreakers markers will be updated on the map. In seconds.,How often lawbreakers markers will be updated on the map. In seconds.,How often lawbreakers markers will be updated on the map. In seconds.,How often lawbreakers markers will be updated on the map. In seconds.,How often lawbreakers markers will be updated on the map. In seconds.
